Id  , Concurso                                                          , Data      , bola1, bola2, bola3, bola4, bola5, bola6, bola7, bola8, bola9, bola10, bola11, bola12, bola13, bola14, bola15, bola16, bola17, bola18, bola19, bola20, bola21, bola22, bola23, bola24, bola25
863 , "872                                                             ", 25/02/2013, N    , R    , A    , R    , N    , R    , N    , A    , R    , R     , A     , R     , R     , R     , A     , A     , R     , N     , A     , A     , A     , R     , R     , A     , A
864 , "873                                                             ", 27/02/2013, A    , R    , N    , A    , A    , R    , R    , N    , R    , A     , N     , R     , R     , R     , N     , A     , R     , R     , A     , A     , A     , R     , A     , A     , N
865 , "874                                                             ", 01/03/2013, N    , R    , A    , N    , N    , R    , R    , R    , R    , N     , A     , A     , A     , A     , A     , N     , A     , A     , N     , N     , N     , A     , N     , A     , R
866 , "875                                                             ", 04/03/2013, A    , R    , A    , R    , A    , R    , A    , R    , R    , R     , A     , N     , N     , A     , N     , A     , A     , N     , A     , A     , R     , N     , R     , N     , R
867 , "876                                                             ", 06/03/2013, A    , A    , N    , A    , N    , R    , N    , A    , R    , A     , A     , R     , R     , N     , A     , N     , A     , R     , A     , N     , R     , A     , R     , R     , R
868 , "877                                                             ", 08/03/2013, A    , A    , R    , A    , A    , A    , R    , N    , R    , N     , N     , A     , R     , R     , N     , R     , A     , R     , N     , A     , R     , A     , R     , A     , R
869 , "878                                                             ", 11/03/2013, N    , N    , R    , A    , N    , N    , R    , A    , A    , R     , A     , N     , R     , R     , A     , R     , A     , A     , R     , A     , A     , N     , R     , A     , R
870 , "879                                                             ", 13/03/2013, A    , R    , R    , N    , A    , A    , R    , A    , N    , R     , A     , R     , R     , A     , N     , R     , A     , N     , A     , A     , N     , R     , A     , N     , R
871 , "880                                                             ", 15/03/2013, A    , R    , A    , A    , N    , N    , R    , N    , A    , R     , A     , A     , A     , N     , A     , R     , A     , R     , N     , A     , R     , R     , N     , R     , R
872 , "881                                                             ", 18/03/2013, N    , A    , N    , N    , R    , R    , R    , R    , N    , A     , A     , A     , A     , A     , N     , R     , A     , A     , R     , N     , R     , R     , R     , A     , A
873 , "882                                                             ", 20/03/2013, R    , N    , A    , A    , A    , A    , R    , R    , A    , N     , N     , N     , N     , N     , A     , A     , N     , N     , R     , A     , A     , R     , A     , N     , N
874 , "883                                                             ", 22/03/2013, A    , A    , N    , A    , N    , N    , R    , R    , N    , R     , A     , R     , A     , A     , A     , N     , R     , R     , R     , A     , N     , R     , A     , A     , R
875 , "884                                                             ", 25/03/2013, N    , A    , A    , N    , A    , A    , R    , R    , R    , R     , A     , R     , N     , A     , N     , A     , R     , R     , R     , N     , R     , A     , A     , A     , R
876 , "885                                                             ", 27/03/2013, A    , N    , A    , A    , N    , A    , R    , R    , R    , A     , N     , R     , A     , A     , R     , N     , R     , R     , R     , A     , A     , N     , N     , N     , A
877 , "886                                                             ", 30/03/2013, N    , A    , N    , N    , A    , A    , R    , R    , A    , N     , R     , R     , N     , A     , R     , R     , R     , A     , A     , N     , N     , A     , R     , A     , A
878 , "887                                                             ", 01/04/2013, R    , A    , A    , A    , A    , N    , A    , R    , A    , R     , R     , R     , A     , A     , R     , A     , R     , N     , N     , R     , R     , A     , R     , N     , N
879 , "888                                                             ", 03/04/2013, R    , A    , N    , A    , A    , R    , A    , A    , A    , A     , R     , R     , N     , N     , A     , N     , R     , R     , R     , R     , R     , N     , A     , R     , A
880 , "889                                                             ", 05/04/2013, A    , N    , A    , N    , N    , R    , N    , A    , N    , A     , R     , R     , R     , A     , A     , R     , A     , R     , R     , A     , R     , R     , A     , A     , N
